Group	Words
798	salopesburia salopesberia salopesburie salopesburi
799	clareualensis clareualensibus
800	sigilique sigiloque
801	oficinas oficina oficinis
802	uexationem uexationes uexatione uexationum uenationem
803	nobilibus mobilibus
804	humframuil umframuil humframuile
805	mclxxxui mclxxui mclxxxii mclxxxuii mclxxxi mcxxxui mclxxxu
806	primogenite primogenito primogeniti primogenita
807	sutamptone sutampton
808	ducentis ducentas ducendis ducenti
809	transactioni transactione transactionis
810	purificationem purificatione purificationis pacificationem
811	frequenter frequentes
812	mcxxxi mclxxxi mcxxxui mcxxxii mcxxxix
813	belueir belueer beluair belueeir beuueir beluer
814	hermanum hermanus germanum
815	ibique sibique
816	permanere permaneret
817	celebrantes celebrante
818	mariagium maritagium mariagiam
819	curauerunt iurauerunt
820	oferentes oferente
821	albegneio albeneio albigneio
822	habenda habendam habend habendas habende
823	poreton moreton
824	wederhale wederhal
825	recusaui recusauit
826	testante atestante
827	ierusalem iherusalem
828	plateam plateas placeam platea
829	siluanecta siluanecti
830	lentonie lantonie
831	refutauit refutaui
832	cristiana cristina cristiani cristiane cristianam cristiano
833	firmandam firmanda firmandum
834	circeset circescet circset
835	estlee estlepe estlece
836	becenses becensis
837	solutionem solutione solutionum
838	imposterum inposterum
839	guilelmi guilelmo guilermi
840	posesas posesam posesis
841	louigneio luuigneio
842	ansculus ansculum anscilus
843	tusculanu tusculanus
844	scoten scoteni scotent
845	instauratione instaurationem
846	hoctone hoctona houctone hocton
847	malorum walorum alorum maiorum
848	aliquantule aliquantulo
849	restauratum restauratur
850	stantonia stantona
851	rohaisie rohaisia rohaise
852	seipsis seipsos
853	burgton burton
854	promotione promotionem promotioni
855	hamtiscira hamtescira
856	bonitatem bonitate
857	rohaidi rohardi
858	albuini albini
859	asenciente asentiente
860	salesbiri salesberi salesbir salesburi salesbirie
861	constantin constantien constantia constantino constantini
862	anicilari anicilare
863	humbram humbra
864	dampnum damnum dompnum
865	calumpniam calumpnia calumpnias calumniam columpniam
866	ceringis ceringes
867	admitere amitere
868	wulnod wulnodo
869	expleri explere expleui
870	hierusalimitani ierusalimitani ierusolimitani ierusalemitani
871	pertenentibus pertinentibus
872	recongnoui recongnouit recognoui
873	iaculator ioculator
874	expedierint expedierit
875	indignationem indignatione
876	efectuose afectuose
877	cersintona cerintona kersintona
878	musters mustiers
879	ismerii imerii
880	poternas poternam poterna
881	wintonienei wintoniensi
882	familiarem familiarum familiare familiares
883	estcirce estcerce
884	adelicie adelecie adelice adelicia atelicie
885	bromieard bromiard
886	concilium consilium
887	mailing maling hailing
888	dihtona ditona
889	bernardum bernardus
890	famulentur famulantur
891	duraturam duratura duraturum
892	resipiscant resipiscat
893	egregie egregii
894	martio martino
895	lefqen lefquen
896	enguerano engerano
897	precepti precepta preceptis precepto precepi recepti
898	deuicit euicit deficit
899	maluit malduit
900	herefeort herefort
901	posidenda posidendam posldenda posidendo posidendi posidendas
902	cauenham caueham couenham
903	alardo aalardo alwardo ailardo
904	petitioni petitione petitionis
905	nobilisime nobilisimi
906	pecuniam pecunia pecunias
907	sarebiria sareberia saresbiria
908	fiebat fiebant
909	sufraganeo sufraganei
910	fructus fructum fluctus
911	student studeant
912	sacratisimo sacratisime
913	moniales moniale monialem monialis
914	adquietabunt acquietabunt
915	prioratum prioratus prioratu prioratui
916	caldewelam caldewela
917	facturum facturus acturum facturam fauturum
918	belcampo belcamp belocampo belicampo
919	gargat gargata
920	glaneuile glanuile
921	toraldus toraldum toroldus turaldus
